member_id,uplift_score,rank
626,0.19470015881228703,1
9561,0.18331328227957944,2
6716,0.18071883918157533,3
7244,0.17997836326670308,4
1772,0.1793399953810681,5
5819,0.177127876515907,6
6691,0.17607755799812885,7
2866,0.17493382654450912,8
1290,0.1700305067638917,9
2553,0.16799219334243948,10
5241,0.16705968272238558,11
2381,0.16652321767483153,12
6717,0.1651120908173611,13
52,0.16152814836767504,14
6084,0.1605675197822784,15
7816,0.1604133544714661,16
5360,0.15991596956627846,17
5030,0.15985103999440886,18
6782,0.15924842490036462,19
475,0.1588804797976308,20
7780,0.15874090359917248,21
2126,0.15783207268246918,22
6394,0.1574528374242694,23
1168,0.1570650810216357,24
7177,0.15701236629384563,25
1298,0.15682370744811736,26
9932,0.15664573039493862,27
6094,0.1566134702040612,28
240,0.1563138337881726,29
922,0.15582343783105573,30
3703,0.15574389879038253,31
8298,0.15465852462561616,32
1572,0.15405076132119588,33
6082,0.15359515614764013,34
8250,0.15355470384361042,35
4212,0.15252445510905924,36
1706,0.15176949282252558,37
9146,0.1516398348808653,38
4481,0.15160950794662664,39
4848,0.15144100990216028,40
5029,0.15122790847774537,41
2769,0.15112280295597008,42
273,0.15101096837071942,43
8224,0.15068743488878653,44
9590,0.15051446596316242,45
6721,0.15021200601883383,46
7040,0.1495664422569561,47
8984,0.14956479347964033,48
6283,0.1494616968523763,49
4706,0.1494217034428426,50
8500,0.149154733762755,51
6300,0.14879765684982088,52
509,0.14848660496020033,53
1805,0.14843629671847708,54
6896,0.14829133648964304,55
4893,0.14825965779176686,56
1170,0.147887916211643,57
5756,0.14771075918490262,58
9245,0.14761559659265605,59
5738,0.14760450592082752,60
177,0.1475424084339419,61
5789,0.14736674071867056,62
241,0.14730042517000191,63
5166,0.14726167440512977,64
202,0.1469436697834282,65
2117,0.14639481798321208,66
4287,0.14614818995923412,67
8918,0.14611861644463958,68
3089,0.14574792262196268,69
7169,0.14536370031865425,70
2935,0.14519690383606826,71
3321,0.14518842722806008,72
3236,0.14518345816719447,73
4965,0.14502375829781336,74
5093,0.14472955297873252,75
2783,0.14472286156138042,76
5076,0.14469322105615956,77
5928,0.14460163399234416,78
7946,0.14443887339800554,79
4374,0.14429775302389453,80
9031,0.1442695616172996,81
9939,0.14424989321308823,82
8317,0.14424364355848568,83
3167,0.14418466838214294,84
9232,0.14379790030781736,85
9128,0.1437633754252276,86
5202,0.14366820145936376,87
5189,0.14301435142613866,88
2107,0.1428997246314111,89
6365,0.1428741800592795,90
7095,0.14238506890288127,91
4117,0.14221296235672637,92
3040,0.14178517265125745,93
9241,0.141181540229944,94
7233,0.1409832611630618,95
7255,0.14088689055145975,96
4602,0.14077557191804263,97
4647,0.14034786726905568,98
2487,0.1403013372123066,99
8132,0.14024316425250843,100
5693,0.1400546441882472,101
5047,0.13952050050566206,102
9964,0.13922385192050457,103
8536,0.13911224127464755,104
2606,0.13885917798141895,105
9566,0.138739594337244,106
6887,0.13868578949409194,107
7812,0.13867085808226398,108
7398,0.1385783369946128,109
8056,0.1384613141370309,110
3265,0.13812934774806596,111
3737,0.13811228663051767,112
3382,0.13806295157707688,113
4271,0.13795952796300842,114
5999,0.13767301917913038,115
7837,0.13766111617400756,116
6408,0.13758240732143556,117
1736,0.13716725238701005,118
8662,0.13688247992393032,119
2947,0.13686610586823011,120
9669,0.13651922052304377,121
8279,0.13648533231636184,122
5275,0.13642536390695637,123
8800,0.13623630300721595,124
8935,0.13615573452820506,125
7180,0.13604678471684162,126
8471,0.13576571928569642,127
2497,0.13574173376680165,128
4625,0.13569666380862905,129
2843,0.13568015922561638,130
2756,0.13567517546090455,131
5058,0.1354105172049368,132
4522,0.13537785439544553,133
3374,0.1353664309667107,134
1853,0.13531567747629986,135
9547,0.13528760782996385,136
2994,0.13527982956374485,137
4344,0.1352009664800225,138
4952,0.13505691550961246,139
7937,0.13486539059468117,140
4869,0.134858923843917,141
701,0.1347369118146452,142
5185,0.13469055386656886,143
7033,0.13462871562615847,144
9486,0.1346195019827443,145
307,0.1346051000408835,146
6415,0.13456771261586395,147
465,0.13455699032971702,148
1213,0.13385830809092925,149
1029,0.13379550934555284,150
2505,0.133782471675907,151
1421,0.13361411037657012,152
2091,0.13329551807110562,153
4922,0.13326220946474288,154
6984,0.1332607400240951,155
4898,0.13324158747026765,156
8369,0.13322090431161016,157
1294,0.13269551761128834,158
9892,0.13248778066276623,159
1995,0.1322865921274785,160
7023,0.13223255690769165,161
4012,0.13216555868094582,162
4723,0.13202160624196596,163
1365,0.13201426383620105,164
9825,0.13172166756134973,165
6527,0.13151514527331876,166
2701,0.1314454137469091,167
8256,0.1314185145596211,168
